customer_id,rating,review
Soumya Kumar,5.0,I was in doubt before investing such a huge amount for a phone but after I got it I was really amazed by how much apple is better than android.1. Camera is consistently good.2. Software support is far better than android.3. Design is superb also the fit and finish.4. Lag is extinct as per my use.5. Photo and video editing is a a smooth af6. Screen has very good colour representation7 . Form factors I.e. 6.1 inch size fits perfectly in hand and in also formal dress which is a peace of mind as we worry less about it falling down.The only problem I faced with pro model is that it tends to get little warm when editing high quality content like HDR or RAW images.After software updates the heating issue has gone drastically.Other than that I would say go for it if your budget is not a limit.Peace out.
Sriram Natarajan,5.0,"Using Apple iPhone after 10 years. Really product is good in quality, stability, and feels sturdy. Display is really good very bright. Battery is really superb for users from android. Very quick charging while using 35w Samsung original charger. No heat no lagging no hanging. I don’t play games so no idea about that. Handling is easy. Dynamic island is very useful. iOS software is really feels like half baked cookie. While you connect in Bluetooth earbuds and auto answering is in on it works perfect. But once you switch off Bluetooth auto answering still works so you need to switch off the Bluetooth and auto answering. While on call if you receive any messages your ear drum will get affected due to loud sound. 5g is good. Coming to packing Amazon does a worst job. The packing I received is really just a Amazon printed plastic cover. They send me a message while shipping your iPhone is packed safely and shipped. But while receiving the packing is really worst. But on time delivery."
Kundan,5.0,Great Phone. Great delivery by Amazon
AmazonCustomer,4.0,"The Good: The software is extremely smooth and stable. Battery life is good and not too exceptional. It’s certainly not as good as 13 Pro Max. The battery is currently lasting me 24 hours instead of 18 hours on my Android. I’d say the 3200mAh from Apple is comparable to a 5500mAh Android battery. The 48MP camera is sharp and fast. The dynamic island is extremely helpful in many situations that involve multitasking. I use it very frequently during calls. The screen is bright and looks very clear even in direct sunlight. Haptics are very unique and delightful. Face id is much easier than a fingerprint scanner. Gone are the days of wiping your fingers. The Safari password manager can save passwords for all sites and authenticate directly with Face Id. The size of the phone 6.1 inch is very comfortable for one hand use and one needn’t shuffle around the phone for one hand use like on 6.7 inch phones.Where Apple really shines is with the ecosystem. My 14 Pro, Series 8 watch and Airpods 3 integrate so seamlessly that it’s hard to find the same perfection in other ecosystems I have used in the past. The security of this device is top notch but is also a double edged sword. App usage isn’t very straightforward such as no access to the internal memory. But such limitations are there to enforce strong security. One simply cannot get the same data isolation and security as in iOS on Android. Highly personalized ads too don’t appear while using this phone which means privacy is preserved much better than on Android.The Bad: The phone is extremely heavy for it’s size, so with a case and protector it weighs around a quarter kilo. It still uses a lightning port so new accessories are needed. If you don’t have a basic skill for photo editing you might notice the photos from the phone are a bit dull and not directly postable, but nothing a small tweak can’t fix. Battery drains faster when using the camera outside so for vacations either consider a power bank or switch to a 14 Pro Max. AOD is beautiful but honestly it’s a bit distracting and you could save more battery by simply using tap to wake instead.The Rant : I’d also like to complain about either the Seller (Appario Retail) or Amazon for not giving value to pre-orders. I ordered my phone on 11th (iPhone 14 Pro was available by Apple on 9th Sept and stock of 128GB 14 Pro arrived to Amazon on 11th) and it wasn’t even dispatched till 17th thus defeating the purpose of pre-ordering. Pre-ordering from Apple ideally results in the product reaching your doorstep on 16th September instead of being dispatched on 16th September!"
Ashwas,5.0,"I am first time iphone user and for me there is no older iPhone to compare to. So my review is coming from a long time android user. I am writing this after using phone for 2 days. The purple color looks purple only under good light. Generally it looks like dark gray.Pros:1. Love the display, the pill cutout is disturbing initially, but you'll get used to after some time.2. Battery life seems great when using wifi for internet. I have dual sim, 1 physical and 1 esim and I found that battery drains more on mobile data. I don't know why.3. Software experience is great. Everything works smoothly, some of the banking apps I was using on my previous phone (Samsung Galaxy Note 10 Plus) used to feel choppy and there were frame drops in many apps. That could just be Samsung's fault with software. Anyway the same apps work perfectly and so smooth on iPhone.Cons:1. It is a heavy phone. I am coming from Note 10 which is much bigger phone but that wasn't very heavy. Even though this is smaller phone, it is heavier."
N,5.0,"The media could not be loaded.
                



I upgraded from iPhone XR to iPhone 14 pro. They both are same size(6.1”) and comfortable to use. Some things to considerPros:1) Immersive display with ‘Pro Motion. It’s the best.2) Dynamic island. It’s not just a punch hole it responds to touch and is customisable.3)A-16 is really really fast, you will love it.4) Camera is great and video quality at 4K 60fps is smooth af.5) Night photography is 🤩6) speakers are way louder for its size7) always on display is a highlight this yearCons:1) Battery life is pretty average2) Still lightning cable and not type -c3) very costly in India than US and other countries.4) Android counterparts offer equally compelling products(eg.Samsung, pixel, OnePlus, Huawei)"
Pritam Dasgupta,5.0,"An absolute beast of a device. Recommended for those apple lovers who are awestruck by the simplicity and ease of use of iPhones over the years. iPhones are meant to be upgraded after years of use and unlike android devices not every year because they don’t need to be.The phone is magic, the display, the camera, the battery backup everything is top notch.I bought it at a time when 15 pro is available but there is not much substantial difference between the two and plan on using it at least till iPhone 22 pro comes out."
Salil,5.0,"The media could not be loaded.
                



It is still early to comment. But overall feel of the phone is great. It is a bit heavy, the camera lenses are huge compared to other phones. But iOS is smooth to use and no lag observed. Coming from android, few things to remember - WhatsApp backup can be done only through 3rd party application on PC as android saves the WhatsApp data in google drive and iPhone in iCloud. SMS can also be saved only through a third application, else you should simply back up from Android and forget it. We faced this issue as we had opted for a phone exchange and had to backup everything before erasing the data. If you are not opting for a phone exchange, you can check other apps like Move to iOS, which transfers data from android to iPhone, (only during the initial setup, not later)"
Lata,5.0,Just buy it bro !!
Sarkar,5.0,Iphone 14 pro its crazy 😍…
Supria barman,4.0,After researching about the dealer and reading most of the reviews I decided to buy that n I took this phone to Apple Store they says it’s original one so please guys u can buy this one while selling one of ur kidney 🥲 but it took long time to be delivered n the packing can be improved
Rahul Saini,4.0,Genuine Apple Brand. No comment needed
Sunny M Leo,5.0,"This is exactly what you would expect from an iPhone. All the perks and all the cons - what you see is what you get. No surprises here.I wanted a top-notch camera in my pocket to take photos of my 4-year-old and so I am happy with this. Several things of course could have been better, but you wouldn't hear any complaints from me. I did enough research on what I am getting into and so no surprises and no disappointments."
Placeholder,4.0,Good phone..
Ravi Yadav,5.0,Nice
Dhawal Poladia,5.0,"I got an excellent deal on this excellent phone! Got it, took it 😀"
Sumiit Patnaaik,5.0,"The delivery from Amazon was really good. I was worried if the packaging and phone will be in the correct shape and size. Just anxiety. But it went all well. Now the phone is superb, it's overheating.One thing to notice, eSIM with this phone is not working with AIRTEL. It seems their systems are not updated to cover iPhone14 Pro models so far. So if you get an eSIM issue, better get this checked from your carriers."
