film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update,query_response_time_ms
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,194.8481468235971
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,,3,4.99,48,12.99,G,"Trailers,Deleted Scenes",2021-03-06 15:52:00,151.23976896811857
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",2021-03-06 15:52:00,163.29006391342125
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes",2021-03-06 15:52:00,178.5464931172213
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,,6,2.99,130,22.99,G,Deleted Scenes,2021-03-06 15:52:00,119.36512627319098
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,,3,2.99,169,17.99,PG,Deleted Scenes,2021-03-06 15:52:00,164.20415697105685
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,1,,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes",2021-03-06 15:52:00,141.9707672730362
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,1,,6,4.99,54,15.99,R,Trailers,2021-03-06 15:52:00,175.4031232564948
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",2021-03-06 15:52:00,86.18317738945514
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes",2021-03-06 15:52:00,147.02717099276194
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,1,,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes",2021-03-06 15:52:00,131.91538032648114
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,1,,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes",2021-03-06 15:52:00,162.96788851902465
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,1,,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,164.10132562104607
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,1,,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,128.77122315533921
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes",2021-03-06 15:52:00,128.63478407471868
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,,6,2.99,180,23.99,NC-17,"Trailers,Commentaries",2021-03-06 15:52:00,146.68003894328012
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",2021-03-06 15:52:00,123.10073318054376
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,1,,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:00,175.2595108635638
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,138.9237839865766
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,1,,4,4.99,79,23.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,62.790353420350755
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes",2021-03-06 15:52:00,138.75533830134583
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,,6,2.99,85,10.99,G,"Commentaries,Behind the Scenes",2021-03-06 15:52:00,118.84368537468083
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",2021-03-06 15:52:00,101.06172553617164
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,,6,2.99,181,19.99,R,"Trailers,Behind the Scenes",2021-03-06 15:52:00,112.87720085332282
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,,3,2.99,74,15.99,G,Trailers,2021-03-06 15:52:00,153.2822541549891
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,,3,0.99,86,15.99,G,"Commentaries,Deleted Scenes",2021-03-06 15:52:00,189.85922484744694
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,,7,0.99,179,12.99,NC-17,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,159.3955342159494
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,,5,4.99,91,16.99,PG-13,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,131.8048983535278
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,,5,2.99,168,11.99,NC-17,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:00,163.6771258551211
30,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,,4,2.99,82,27.99,R,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,136.22729069343023
31,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,129.16198892510567
32,APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,1,,6,4.99,119,11.99,R,"Trailers,Commentaries",2021-03-06 15:52:00,115.36911995301047
33,APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,,5,2.99,153,15.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:00,97.44513579744843
34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,1,,6,0.99,62,29.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:00,138.30228880321664
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,1,,4,2.99,147,24.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,154.74160469760395
36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,1,,7,0.99,127,12.99,PG-13,"Trailers,Commentaries",2021-03-06 15:52:01,147.1012898995533
37,ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,2006,1,,3,2.99,121,28.99,PG,"Trailers,Deleted Scenes",2021-03-06 15:52:01,137.52099216157924
38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,1,,6,0.99,68,25.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,121.62761817909657
39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,1,,5,0.99,99,10.99,G,Trailers,2021-03-06 15:52:01,168.24738575054906
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,,4,0.99,148,22.99,R,"Trailers,Commentaries",2021-03-06 15:52:01,110.48604240160245
41,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,1,,4,0.99,137,17.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,173.28083741530426
42,ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes",2021-03-06 15:52:01,119.93348943219826
43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,,6,2.99,170,15.99,G,Behind the Scenes,2021-03-06 15:52:01,127.42694287940894
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,,5,4.99,113,21.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:01,105.99644428152969
45,ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,1,,5,4.99,83,14.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:01,134.9579355934309
46,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,,3,4.99,108,13.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,179.25937375433938
47,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,,5,4.99,153,23.99,NC-17,Commentaries,2021-03-06 15:52:01,165.4688426533187
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,,3,4.99,118,24.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:01,179.35266336084106
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,,6,2.99,162,22.99,R,"Trailers,Commentaries,Behind the Scenes",2021-03-06 15:52:01,165.6642763780181
50,BAKED CLEOPATRA,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,,3,2.99,182,20.99,G,"Commentaries,Behind the Scenes",2021-03-06 15:52:01,116.88990514408893
51,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,1,,5,2.99,75,10.99,NC-17,Deleted Scenes,2021-03-06 15:52:01,140.07632327017328
52,BALLROOM MOCKINGBIRD,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,,6,0.99,173,29.99,G,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,126.59402612647612
53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,,5,2.99,87,25.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,189.91724712117121
54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,,5,0.99,113,15.99,R,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,114.09634060721065
55,BARBARELLA STREETCAR,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,,6,2.99,65,27.99,G,Behind the Scenes,2021-03-06 15:52:01,176.8109306816733
56,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,,6,2.99,129,15.99,G,"Trailers,Commentaries",2021-03-06 15:52:01,176.78861610326308
57,BASIC EASY,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,1,,4,2.99,90,18.99,PG-13,Deleted Scenes,2021-03-06 15:52:01,204.8886060514826
58,BEACH HEARTBREAKERS,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,,6,2.99,122,16.99,G,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,137.70940222111508
59,BEAR GRACELAND,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,2006,1,,4,2.99,160,20.99,R,Deleted Scenes,2021-03-06 15:52:01,171.36966478740487
60,BEAST HUNCHBACK,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,1,,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,218.44955509616528
61,BEAUTY GREASE,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,2006,1,,5,4.99,175,28.99,G,"Trailers,Commentaries",2021-03-06 15:52:01,131.4707496919891
62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,1,,5,2.99,106,23.99,NC-17,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,103.94879257402921
